competition_name,season_name,competition_short,tournament_id,match_id,team,total_events,shots,passes,carries,pressures,recoveries,duels,interceptions,blocks,clearances,xg,completed_passes,pass_completion_pct
UEFA Euro,2024,Euro,Euro_2024,3940878,Italy,1913,11,563,432,152,42,17,8,19,14,0.725657915,480,85.2575488454707
UEFA Euro,2024,Euro,Euro_2024,3940878,Switzerland,1939,16,561,480,128,39,25,5,16,23,0.782356756,496,88.41354723707666
UEFA Euro,2024,Euro,Euro_2024,3940983,Denmark,1670,10,475,363,166,32,34,6,12,10,1.073495348,387,81.47368421052632
UEFA Euro,2024,Euro,Euro_2024,3940983,Germany,1970,15,575,501,116,28,22,8,15,21,2.2266212784,504,87.65217391304347
UEFA Euro,2024,Euro,Euro_2024,3941017,England,2818,16,872,712,143,64,41,9,25,13,1.586740501,737,84.51834862385321
UEFA Euro,2024,Euro,Euro_2024,3941017,Slovakia,1946,13,514,412,197,59,49,11,28,37,1.547847124,400,77.82101167315176
UEFA Euro,2024,Euro,Euro_2024,3941018,Georgia,1183,4,285,213,155,33,28,11,30,22,0.113077642,225,78.94736842105263
UEFA Euro,2024,Euro,Euro_2024,3941018,Spain,2765,35,850,731,121,40,23,8,13,8,2.764726376,782,92.0
UEFA Euro,2024,Euro,Euro_2024,3941019,Belgium,1764,5,524,426,129,30,30,8,15,14,0.36321392599999996,456,87.02290076335878
UEFA Euro,2024,Euro,Euro_2024,3941019,France,2179,19,650,570,129,30,23,11,13,13,1.262011896,590,90.76923076923077
UEFA Euro,2024,Euro,Euro_2024,3941020,Portugal,2770,23,842,710,112,66,44,13,24,28,4.071676876,718,85.2731591448931
UEFA Euro,2024,Euro,Euro_2024,3941020,Slovenia,1455,13,349,227,215,57,67,14,39,30,3.066036338,216,61.891117478510026
UEFA Euro,2024,Euro,Euro_2024,3941021,Netherlands,1819,24,559,446,75,41,22,12,12,16,2.6262365,470,84.07871198568873
UEFA Euro,2024,Euro,Euro_2024,3941021,Romania,1179,5,319,199,146,26,30,9,23,27,0.267701091,229,71.78683385579937
UEFA Euro,2024,Euro,Euro_2024,3941022,Austria,2108,21,628,483,137,69,37,6,22,8,2.487028219,508,80.89171974522293
UEFA Euro,2024,Euro,Euro_2024,3941022,Turkey,1612,6,427,316,172,42,34,12,34,45,0.8825083735,332,77.75175644028103
UEFA Euro,2024,Euro,Euro_2024,3942226,Germany,2270,23,655,546,183,60,39,6,14,16,1.629074586,543,82.90076335877863
UEFA Euro,2024,Euro,Euro_2024,3942226,Spain,2193,19,606,515,187,63,29,10,27,31,1.534054224,512,84.48844884488449
UEFA Euro,2024,Euro,Euro_2024,3942227,England,2493,18,738,632,196,52,28,3,19,20,4.454541235,647,87.66937669376695
UEFA Euro,2024,Euro,Euro_2024,3942227,Switzerland,2397,16,673,619,190,41,30,6,30,22,4.335406498999999,602,89.45022288261517
UEFA Euro,2024,Euro,Euro_2024,3942349,France,2161,25,625,514,119,41,28,11,22,27,4.984905566,561,89.75999999999999
UEFA Euro,2024,Euro,Euro_2024,3942349,Portugal,3034,19,927,802,143,48,23,6,22,17,4.542798661,839,90.50701186623516
UEFA Euro,2024,Euro,Euro_2024,3942382,Netherlands,1920,11,569,473,102,36,27,6,18,20,0.718929115,498,87.5219683655536
UEFA Euro,2024,Euro,Euro_2024,3942382,Turkey,1497,15,395,338,139,45,39,13,22,12,1.182432874,316,80.0
UEFA Euro,2024,Euro,Euro_2024,3942752,France,1438,9,391,304,174,35,31,6,18,16,0.850764694,318,81.32992327365729
UEFA Euro,2024,Euro,Euro_2024,3942752,Spain,1892,6,542,475,122,41,27,4,19,24,0.421515934,473,87.26937269372694
UEFA Euro,2024,Euro,Euro_2024,3942819,England,1989,9,617,549,77,32,20,7,12,3,1.236570741,559,90.59967585089142
UEFA Euro,2024,Euro,Euro_2024,3942819,Netherlands,1514,7,445,368,93,22,27,9,15,11,0.412172209,396,88.98876404494382
UEFA Euro,2024,Euro,Euro_2024,3943043,England,1289,9,323,267,165,32,36,3,22,25,0.726377697,254,78.63777089783281
UEFA Euro,2024,Euro,Euro_2024,3943043,Spain,2015,16,592,490,162,37,32,2,19,17,1.791713124,518,87.5
