competition_name,season_name,competition_short,tournament_id,team,similar_competition_name,similar_season_name,similar_competition_short,similar_tournament_id,similar_team,similarity_score,similarity_rank
FIFA World Cup,2022,World Cup,World Cup_2022,Brazil,African Cup of Nations,2023,AFCON,AFCON_2023,Côte d'Ivoire,86.47,8.0
FIFA World Cup,2022,World Cup,World Cup_2022,Brazil,African Cup of Nations,2023,AFCON,AFCON_2023,Egypt,89.28,4.0
FIFA World Cup,2022,World Cup,World Cup_2022,Brazil,Copa America,2024,Copa América,Copa América_2024,Argentina,74.47,10.0
FIFA World Cup,2022,World Cup,World Cup_2022,Brazil,FIFA World Cup,2022,World Cup,World Cup_2022,Argentina,90.25,3.0
FIFA World Cup,2022,World Cup,World Cup_2022,Brazil,FIFA World Cup,2022,World Cup,World Cup_2022,France,87.3,5.0
FIFA World Cup,2022,World Cup,World Cup_2022,Brazil,FIFA World Cup,2022,World Cup,World Cup_2022,Germany,97.39,1.0
FIFA World Cup,2022,World Cup,World Cup_2022,Brazil,UEFA Euro,2024,Euro,Euro_2024,France,87.26,6.0
FIFA World Cup,2022,World Cup,World Cup_2022,Brazil,UEFA Euro,2024,Euro,Euro_2024,Germany,90.6,2.0
FIFA World Cup,2022,World Cup,World Cup_2022,Brazil,UEFA Euro,2024,Euro,Euro_2024,Portugal,87.18,7.0
FIFA World Cup,2022,World Cup,World Cup_2022,Brazil,UEFA Euro,2024,Euro,Euro_2024,Spain,85.84,9.0
FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,86.53,6.0
FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,African Cup of Nations,2023,AFCON,AFCON_2023,Tanzania,86.2,7.0
FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,African Cup of Nations,2023,AFCON,AFCON_2023,Tunisia,91.86,1.0
FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,Copa America,2024,Copa América,Copa América_2024,Bolivia,90.16,3.0
FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,Copa America,2024,Copa América,Copa América_2024,Chile,90.89,2.0
FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,Copa America,2024,Copa América,Copa América_2024,Costa Rica,83.96,9.0
FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,FIFA World Cup,2022,World Cup,World Cup_2022,Australia,83.27,10.0
FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,85.48,8.0
FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,FIFA World Cup,2022,World Cup,World Cup_2022,Wales,88.75,5.0
FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,UEFA Euro,2024,Euro,Euro_2024,Scotland,89.7,4.0
